ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",499.00000000000006,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",91871,0.7740416210295729
0,"White Alone",1,"Hispanic or Latino",2021,"2021",338,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",3728,0.031409554301120565
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",439,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4629,0.03900075827786671
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",180,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",362,0.0030499620861066646
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",307,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1877,0.01581430617575196
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",291,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",500,0.004212654815064454
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",401,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5990,0.05046760468447215
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",67,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",55,0.0004633920296570899
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",25,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",22,0.00018535681186283596
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",232.99999999999997,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",632,0.005324795686241469
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",228.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",633,0.005333220995871598
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",784.5967116933388,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5959,0.05020642008593816
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",498.206784377732,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2432,0.0204903530204735
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",585,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",94090,0.775654553848183
0,"White Alone",1,"Hispanic or Latino",2020,"2020",437.00000000000006,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4326,0.035662467849370175
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",448,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4812,0.039668930950339645
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",264,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",419,0.0034541317681197653
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2020,"2020",261,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2178,0.017954890193233528
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2020,"2020",243,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",372,0.003066675460001319
3,"Asian Alone",0,"Not Hispanic or Latino",2020,"2020",307,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6343,0.052290114093517116
3,"Asian Alone",1,"Hispanic or Latino",2020,"2020",63.00000000000001,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",83,0.0006842313526347029
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2020,"2020",18,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",13,0.00010716876607531491
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2020,"2020",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",22,0.00018136252720437907
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2020,"2020",388,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",753,0.006207544681131702
5,"Some Other Race Alone",1,"Hispanic or Latino",2020,"2020",292,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",911,0.007510057376508606
6,"Two or More Races",0,"Not Hispanic or Latino",2020,"2020",687.5354536313018,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5353,0.044128800369320056
6,"Two or More Races",1,"Hispanic or Latino",2020,"2020",368.3069372140579,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1629,0.013429070764360614
0,"White Alone",0,"Not Hispanic or Latino",2019,"2019",88,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",94306,0.7839886939895253
0,"White Alone",1,"Hispanic or Latino",2019,"2019",494,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4826,0.04011971069914374
1,"Black or African American Alone",0,"Not Hispanic or Latino",2019,"2019",426,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4959,0.04122537201762407
1,"Black or African American Alone",1,"Hispanic or Latino",2019,"2019",174,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",295,0.0024524066838473688
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2019,"2019",288,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2636,0.021913708537700558
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2019,"2019",215.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",372,0.0030925263945465126
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",339,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6283,0.05223210574445091
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",52,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",64,0.0005320475517499376
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",15.000000000000002,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",10,0.00008313242996092776
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",17,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",14,0.00011638540194529887
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",99,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",164,0.0013633718513592153
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",291,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1108,0.009211073239670796
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",570.6881810586234,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4377,0.03638706459389808
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",322.92568804602706,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",876,0.007282400864577271
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",139,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",93868,0.7866978435957391
0,"White Alone",1,"Hispanic or Latino",2018,"2018",441,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4610,0.038635925544129604
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",421,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4841,0.04057191226879206
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",135,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",206,0.001726464351863492
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",244,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2565,0.021496995449174064
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",221.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",370,0.0031009311174247187
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",347,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6198,0.051944786664320015
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",40,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",31,0.0002598077422707197
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",15.000000000000002,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",10,0.000083808949119587
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",21,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",17,0.0001424752135032979
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",130,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",146,0.00122361065714597
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",331,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1191,0.00998164584014281
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",614.3525046746371,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4335,0.03633117944334096
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",288.5342267392206,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",931,0.007802613163033548
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",115.99999999999999,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",93227,0.7913603721372426
0,"White Alone",1,"Hispanic or Latino",2017,"2017",517,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4531,0.038461538461538464
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",368,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4661,0.039565047620664484
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",108,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",179,0.0015194472267965977
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",289,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2628,0.022307862078332172
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",61,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",126,0.0010695550311529123
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",344,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5700,0.04838463236167937
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",17,0.0001443050438857104
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",15.000000000000002,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",11,0.00009337385192604791
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",24,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",119,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",146,0.001239325671018454
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",360,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1119,0.009498667300477055
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",651.3324803815636,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4324,0.036704412338930105
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",397.7247792129628,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1137,0.009651460876356042
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",106.99999999999999,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",92804,0.7976141364136413
0,"White Alone",1,"Hispanic or Latino",2016,"2016",455,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4652,0.03998212321232123
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",496,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4364,0.037506875687568754
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",86,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",119,0.0010227585258525853
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",331,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2462,0.021159928492849284
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",62,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",102,0.0008766501650165016
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",291,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5332,0.045826457645764575
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",21,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",13,0.00011172992299229924
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",37,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",37,0.0003180005500550055
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",23,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",103,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",113,0.0009711908690869087
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",337,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1061,0.009118880638063806
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",606.7783779931516,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4526,0.03889920242024202
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",283.8045101826255,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",767,0.006592065456545655
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",54.99999999999999,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",92110,0.8011864274096044
0,"White Alone",1,"Hispanic or Latino",2015,"2015",434,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4799,0.04174241304026373
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",437.00000000000006,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4406,0.03832404081171119
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",127,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",192,0.0016700444475371194
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",267,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2559,0.02225856115233067
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",60.00000000000001,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",91,0.0007915314829472805
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",283,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",5067,0.04407351674828429
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",23,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",36,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",27,0.00023485000043490742
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",23,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",66,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",55,0.00047839814903407067
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",244,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",643,0.0055929092696164985
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",633.5297940902227,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4214,0.03665399636417407
6,"Two or More Races",1,"Hispanic or Latino",2015,"2015",295.90876972472444,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",804,0.0069933111240616875
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",59,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",91632,0.8058890266747579
0,"White Alone",1,"Hispanic or Latino",2014,"2014",377,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4415,0.038829230539211806
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",364,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4220,0.03711423621188535
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",151,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",243,0.002137146777129891
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",310,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2355,0.020711854568481042
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",68,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",77,0.000677202888226344
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",234.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4768,0.0419338100138079
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",24,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",26,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",19,0.00016710201138052646
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",24,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",70,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",80,0.0007035874163390588
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",225.99999999999997,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",673,0.005918929139952332
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",522.8049349422785,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4389,0.038600564628901615
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",272.97618943783357,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",832,0.007317309129926211
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",67,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",91053,0.81145174226896
0,"White Alone",1,"Hispanic or Latino",2013,"2013",354,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4255,0.0379199714820426
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",358,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",3936,0.03507708760360039
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",167,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",193,0.0017199893057659745
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",265,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2399,0.021379556189287944
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",69,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",60,0.0005347117012743962
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",210,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4547,0.040522235094911326
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",13,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6,0.00005347117012743962
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",18,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",15,0.00013367792531859905
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",24,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",72,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",121,0.001078335264236699
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",165,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",543,0.0048391408965332856
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",506.5688502069586,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4187,0.03731396488726495
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",288.48743473503316,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",895,0.00797611621067641