ID Gender,Gender,ID IPEDS Race,IPEDS Race,ID Year,Year,Completions,Geography,ID Geography,Slug Geography
1,"Men","asian","Asian",2021,"2021",149,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2021,"2021",125,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",9,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2021,"2021",247,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2021,"2021",142,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2021,"2021",67,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2021,"2021",290,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2021,"2021",25,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2021,"2021",2311,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2021,"2021",197,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2021,"2021",154,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2021,"2021",3,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2021,"2021",357,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2021,"2021",181,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2021,"2021",130,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2021,"2021",191,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2021,"2021",33,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2021,"2021",2933,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2020,"2020",146,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2020,"2020",118,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2020,"2020",3,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2020,"2020",228,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2020,"2020",145,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2020,"2020",78,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2020,"2020",408,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2020,"2020",39,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2020,"2020",2350,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2020,"2020",188,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2020,"2020",143,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2020,"2020",1,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2020,"2020",310,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2020,"2020",185,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2020,"2020",119,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2020,"2020",235,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2020,"2020",33,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2020,"2020",3072,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2019,"2019",134,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2019,"2019",140,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2019,"2019",4,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2019,"2019",177,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2019,"2019",174,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2019,"2019",76,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2019,"2019",328,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2019,"2019",35,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2019,"2019",2440,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2019,"2019",205,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2019,"2019",164,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2019,"2019",2,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2019,"2019",249,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2019,"2019",179,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2019,"2019",141,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2019,"2019",245,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2019,"2019",53,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2019,"2019",2999,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2018,"2018",170,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2018,"2018",113,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2018,"2018",1,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2018,"2018",181,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2018,"2018",121,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2018,"2018",101,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2018,"2018",263,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2018,"2018",50,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2018,"2018",2399,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2018,"2018",150,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2018,"2018",164,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2018,"2018",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2018,"2018",216,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2018,"2018",180,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2018,"2018",138,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2018,"2018",239,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2018,"2018",51,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2018,"2018",3188,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2017,"2017",141,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2017,"2017",117,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2017,"2017",1,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2017,"2017",164,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2017,"2017",131,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2017,"2017",107,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2017,"2017",285,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2017,"2017",47,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2017,"2017",2323,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2017,"2017",163,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2017,"2017",133,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2017,"2017",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2017,"2017",234,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2017,"2017",188,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2017,"2017",138,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2017,"2017",245,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2017,"2017",58,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2017,"2017",2977,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2016,"2016",151,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2016,"2016",109,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2016,"2016",4,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2016,"2016",157,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2016,"2016",109,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2016,"2016",104,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2016,"2016",298,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2016,"2016",70,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2016,"2016",2350,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2016,"2016",141,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2016,"2016",124,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2016,"2016",2,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2016,"2016",222,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2016,"2016",144,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2016,"2016",131,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2016,"2016",202,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2016,"2016",68,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2016,"2016",2875,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2015,"2015",126,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2015,"2015",111,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2015,"2015",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2015,"2015",134,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2015,"2015",81,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2015,"2015",96,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2015,"2015",282,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2015,"2015",63,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2015,"2015",2341,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2015,"2015",119,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2015,"2015",126,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2015,"2015",4,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2015,"2015",192,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2015,"2015",134,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2015,"2015",129,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2015,"2015",218,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2015,"2015",75,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2015,"2015",2769,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2014,"2014",120,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2014,"2014",120,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2014,"2014",4,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2014,"2014",142,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2014,"2014",91,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2014,"2014",87,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2014,"2014",281,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2014,"2014",50,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2014,"2014",2404,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2014,"2014",158,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2014,"2014",108,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2014,"2014",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2014,"2014",191,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2014,"2014",106,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2014,"2014",121,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2014,"2014",273,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2014,"2014",48,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2014,"2014",2842,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2013,"2013",126,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2013,"2013",95,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2013,"2013",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2013,"2013",137,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2013,"2013",74,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2013,"2013",106,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2013,"2013",261,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2013,"2013",65,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2013,"2013",2501,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2013,"2013",144,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2013,"2013",111,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2013,"2013",1,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2013,"2013",153,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2013,"2013",100,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2013,"2013",134,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2013,"2013",238,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2013,"2013",42,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2013,"2013",2938,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2012,"2012",113,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2012,"2012",95,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2012,"2012",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2012,"2012",119,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2012,"2012",58,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2012,"2012",83,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2012,"2012",235,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2012,"2012",54,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2012,"2012",2652,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2012,"2012",156,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2012,"2012",135,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2012,"2012",2,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2012,"2012",184,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2012,"2012",76,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2012,"2012",147,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2012,"2012",195,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2012,"2012",46,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2012,"2012",3169,"Lawrence, KS","16000US2038900","lawrence-ks"